---Apply 0V,10202,1,V,","
Close all DIP switches now open 2 4 6 8 10 11 12 Press Start,10332,0,V,","
Set BAUD to 38400,10330,38400,V,","
Set BACnet Comm Address HEX,10334,$55,TXT,","
Check Contacts N/C Closed,10102,0[><]18,V,","
Check Contacts N/O Open,10102,1[><]19,V,","
---Apply -20V to Low Voltage Input,10200,1,V,","
Check Contacts N/C Closed,10102,0[><]18,V,","
Check Contacts N/O Open,10102,1[><]19,V,","
Close DIP Switch 12 Is RED L E D ON? Press Start,10332,0,V,","
Check Contacts N/C Open,10102,1[><]18,V,","
Check Contacts N/O Closed,10102,0[><]19,V,","
Open DIP Switch 12 then watch for green L E D to blink,10109,0,V,","
Check Contacts N/C Closed,10102,0[><]18,V,","
Check Contacts N/O Open,10102,1[><]19,V,","
Verify Software Version,10316,$1.1 ,TXT,","
Verify Firmware Revision Number,10317,$2.04 ,TXT,","
Close Dry Contact,10101,1[><]9,V,","
Read BI Closed,10328,1,V,","
Open Dry Contact,10101,0[><]9,V,","
Read BI Open,10328,0,V,","
Write BO1 RELAY ON,10324,0[><]99,V,","
Check N/O Closed,10102,0[><]19,V,","
Open DIP Switch 11,10109,0,V,","
Check N/O Open,10102,1[><]19,V,","
Close DIP switch 11,10109,0,V,","
Check N/O Closed,10102,0[><]19,V,","
Relinquish BO1 RELAY OFF,10326,0[><]99,V,","
Check N/O Open,10102,1[><]19,V,","
---Apply 0V,10202,1,V,","
OPEN all Dip Switches then Press Start,10332,0,V,","
Close DIPs 2 4 6 8 10 11 then Press Start,10332,0,V,","
Set BAUD to 115200,10330,115200,V,","
Set BACnet Comm Address HEX,10334,$2A,TXT,","
---Apply 30Vdc,10204,1,V,","
Check N/O Open,10102,1[><]19,V,","
Write BO1 RELAY ON,10324,0[><]99,V,","
Check N/O Closed,10102,0[><]19,V,","
---Apply 0V ,10202,1,V,","
Pause 1 Seconds,10000,1,Secs,","
---Apply 120Vac,10206,1,V,","
Write BO1 RELAY ON,10324,0[><]99,V,","
Check N/C Open,10102,1[><]18,V,","
Check N/O Closed,10102,0[><]19,V,","
---Apply 0V ,10202,1,V,","
Open All DIP Switchs CLOSE 11 ONLY then Press Start,10332,0,V,","
Hang Jumper Off EOL then Press Start,10332,0,V,","
EOF,,,,
